ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title,Direction
206488_s_at,2.48e-16,3.43e-18,-1.03e+01,30.7882626,-6.34,CD36,CD36 molecule,Downregulated
202503_s_at,3.02e-16,4.26e-18,1.03e+01,30.5727296,3.86,KIAA0101,KIAA0101,Upregulated
204570_at,3.31e-16,4.69e-18,-1.02e+01,30.4770268,-4.00,COX7A1,cytochrome c oxidase subunit 7A1,Downregulated
228613_at,3.76e-16,5.38e-18,1.02e+01,30.3426435,3.17,RAB11FIP3,RAB11 family interacting protein 3,Upregulated
206101_at,4.12e-16,5.92e-18,-1.02e+01,30.2477898,-4.67,ECM2,extracellular matrix protein 2,Downregulated
202870_s_at,4.19e-16,6.06e-18,1.02e+01,30.2251068,3.82,CDC20,cell division cycle 20,Upregulated
219616_at,4.43e-16,6.42e-18,-1.02e+01,30.1668207,-3.08,ACSS3,acyl-CoA synthetase short-chain family member 3,Downregulated
227372_s_at,4.71e-16,6.87e-18,1.02e+01,30.100478,3.76,BAIAP2L1,BAI1 associated protein 2 like 1,Upregulated
206102_at,5.02e-16,7.36e-18,1.02e+01,30.0320908,3.22,GINS1,GINS complex subunit 1,Upregulated
266_s_at,5.48e-16,8.08e-18,1.01e+01,29.940504,4.20,CD24,CD24 molecule,Upregulated
204271_s_at,6.23e-16,9.25e-18,-1.01e+01,29.8063608,-3.23,EDNRB,endothelin receptor type B,Downregulated
205290_s_at,7.80e-16,1.18e-17,-1.01e+01,29.5644812,-3.15,BMP2,bone morphogenetic protein 2,Downregulated
205404_at,9.87e-16,1.52e-17,-1.00e+01,29.3151642,-3.23,HSD11B1,hydroxysteroid 11-beta dehydrogenase 1,Downregulated
207828_s_at,1.02e-15,1.57e-17,1.00e+01,29.2854837,3.03,CENPF,centromere protein F,Upregulated
205428_s_at,1.04e-15,1.61e-17,-1.00e+01,29.2581687,-3.80,CALB2,calbindin 2,Downregulated
65517_at,1.06e-15,1.64e-17,1.00e+01,29.2387467,3.55,AP1M2,adaptor related protein complex 1 mu 2 subunit,Upregulated
209283_at,1.06e-15,1.65e-17,-1.00e+01,29.236294,-4.69,CRYAB,crystallin alpha B,Downregulated
205498_at,1.06e-15,1.65e-17,-1.00e+01,29.2347553,-4.82,GHR,growth hormone receptor,Downregulated
227623_at,1.12e-15,1.74e-17,-1.00e+01,29.1787258,-3.41,CACNA2D1,calcium voltage-gated channel auxiliary subunit alpha2delta 1,Downregulated
203323_at,1.91e-15,3.06e-17,-9.89,28.6219927,-4.61,CAV2,caveolin 2,Downregulated
225162_at,2.15e-15,3.51e-17,-9.87,28.4887557,-3.32,SH3D19,SH3 domain containing 19,Downregulated
202597_at,2.21e-15,3.61e-17,9.86,28.4611781,3.37,IRF6,interferon regulatory factor 6,Upregulated
223253_at,2.39e-15,3.95e-17,-9.85,28.3721545,-3.14,EPDR1,ependymin related 1,Downregulated
235885_at,2.81e-15,4.70e-17,-9.82,28.1998868,-3.13,P2RY12,purinergic receptor P2Y12,Downregulated
204894_s_at,3.09e-15,5.22e-17,-9.80,28.0955362,-4.41,AOC3,"amine oxidase, copper containing 3",Downregulated
218792_s_at,4.23e-15,7.30e-17,9.74,27.7636174,3.30,BSPRY,B-box and SPRY domain containing,Upregulated
213524_s_at,4.41e-15,7.65e-17,-9.73,27.7176238,-5.46,G0S2,G0/G1 switch 2,Downregulated
